I_DATA_SET1,SOURCE_RES,SOURCE_PSCHEMA,SOURCE_LSCHEMA,SOURCE_TABLE1,SOURCE_TABLE2,SOURCE_TAB,TARGET_PSCHEMA,TARGET_LSCHEMA,TARGET_TABLE1,TARGET_TABLE2,TARGET_TAB,TARGET_RES,I_DATA_SET2
1955001,DWH,EDW_SOR.EDW_STG,EDW_SOR_STG,T_BSH_ANL_FCT_C0,EDW_SOR.EDW_STG.T_BSH_ANL_FCT_C0,EDW_SOR_STG.T_BSH_ANL_FCT_C0,EDW_SOR.EDW_DMT,EDW_DMT,BSH_ANL_FCT,EDW_SOR.EDW_DMT.BSH_ANL_FCT,EDW_DMT.BSH_ANL_FCT,DWH,1955001
3949001,DWH,EDW_SOR.EDW_SOR,TT31_SRC_SOR,AR_X_RATE,EDW_SOR.EDW_SOR.AR_X_RATE,TT31_SRC_SOR.AR_X_RATE,EDW_SOR.DWH_STAGING,TT31_SRC_DWH_STAGING,TMP_TT31_MD_DEPOSIT_INFO,EDW_SOR.DWH_STAGING.TMP_TT31_MD_DEPOSIT_INFO,TT31_SRC_DWH_STAGING.TMP_TT31_MD_DEPOSIT_INFO,DWH,3949001
251144001,DWH,EDW_SOR.DWH,TT31_SRC_DWH,CUSTOMER_TSD,EDW_SOR.DWH.CUSTOMER_TSD,TT31_SRC_DWH.CUSTOMER_TSD,DWH.TCB_DWH_VAS,TT31_STG,R_TT31_MD_VAL_PAPER,DWH.TCB_DWH_VAS.R_TT31_MD_VAL_PAPER,TT31_STG.R_TT31_MD_VAL_PAPER,DWH,251144001
253878001,DWH,,ICT_SOR,CV,.CV,ICT_SOR.CV,,ICT_STG,T_TBL_ICT_AR_X_AR_LMT,.T_TBL_ICT_AR_X_AR_LMT,ICT_STG.T_TBL_ICT_AR_X_AR_LMT,DWH,253878001
253903001,DWH,,ICT_SOR,EXG_RATE_HIST,.EXG_RATE_HIST,ICT_SOR.EXG_RATE_HIST,,ICT_STG,TMP_TBL_ICT_DP_TSD,.TMP_TBL_ICT_DP_TSD,ICT_STG.TMP_TBL_ICT_DP_TSD,DWH,253903001
386001,DWH,EDW_SOR.EDW_SOR,EDW_SOR,CV,EDW_SOR.EDW_SOR.CV,EDW_SOR.CV,EDW_SOR.EDW_DMT,EDW_DMT,PYMT_DRC_DIM,EDW_SOR.EDW_DMT.PYMT_DRC_DIM,EDW_DMT.PYMT_DRC_DIM,DWH,386001
252416001,DWH,EDW_SOR.EDW_SOR,EDW_SOR,BAL_RNGE,EDW_SOR.EDW_SOR.BAL_RNGE,EDW_SOR.BAL_RNGE,EDW_SOR.EDW_STG,EDW_SOR_STG,T$_AR_BHVR_ANL_FCT_LMT1,EDW_SOR.EDW_STG.T$_AR_BHVR_ANL_FCT_LMT1,EDW_SOR_STG.T$_AR_BHVR_ANL_FCT_LMT1,DWH,252416001
252744001,DWH,EDW_SOR.EDW_SOR,EDW_SOR,IP,EDW_SOR.EDW_SOR.IP,EDW_SOR.IP,EDW_SOR.EDW_STG,EDW_SOR_STG,T_DMT_SAL_PERP_ANL_FCT,EDW_SOR.EDW_STG.T_DMT_SAL_PERP_ANL_FCT,EDW_SOR_STG.T_DMT_SAL_PERP_ANL_FCT,DWH,252744001
414001,DWH,EDW_SOR.EDW_SOR,EDW_SOR,IP,EDW_SOR.EDW_SOR.IP,EDW_SOR.IP,EDW_SOR.EDW_DMT,EDW_DMT,TXN_DIM,EDW_SOR.EDW_DMT.TXN_DIM,EDW_DMT.TXN_DIM,DWH,414001
434001,DWH,EDW_SOR.EDW_SOR,EDW_SOR,AR_AVY_SHD_ITM,EDW_SOR.EDW_SOR.AR_AVY_SHD_ITM,EDW_SOR.AR_AVY_SHD_ITM,EDW_SOR.EDW_STG,EDW_SOR_STG,T_AR_AVY_SHD_ITM,EDW_SOR.EDW_STG.T_AR_AVY_SHD_ITM,EDW_SOR_STG.T_AR_AVY_SHD_ITM,DWH,434001
