target,source,ID
DWH_LOGICAL.GSM_CUSTOMER_CAMPAIGN_TSD,GSM.CUSTOMER_CAMPAIGN,DWH_LOGICAL.GSM_CUSTOMER_CAMPAIGN_TSD
DWH_LOGICAL.GSM_MEETINGRECORD,GSM.MEETINGRECORD,DWH_LOGICAL.GSM_MEETINGRECORD
EDW_DMT.PFS_BOND_AR_FCT_MTLY,EDW_SOR_STG.T_TBL_PFS_MTH_BO_PD,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DMT.PFS_BOND_AR_FCT_MTLY,EDW_SOR_STG.T_TBL_PFS_MTH_BO_SRC,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DMT.PFS_BOND_AR_FCT_MTLY,EDW_SOR_STG.T_TBL_PFS_MTH_BO_OUG,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DMT.PFS_BOND_AR_FCT_MTLY,EDW_SOR_STG.T_TBL_PFS_MTH_BO_CPVAR,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR_STG.T_TBL_PFS_MTH_BO_SRC,EDW_DMT.PFS_BOND_AR_DIM,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR_STG.T_TBL_PFS_MTH_BO_SRC,EDW_DWH.IB_BOND_STATISTICS_TSD,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR_STG.T_TBL_PFS_MTH_BO_SRC,EDW_DMT.CST_DIM,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR_STG.T_TBL_PFS_MTH_BO_SRC,EDW_DMT.R_TBL_CU_0015_IB_CST_FOR_TCB,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR_STG.T_TBL_PFS_MTH_BO_SRC,EDW_DWH.CUSTOMER_TSD,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR_STG.T_TBL_PFS_MTH_BO_OUG,EDW_DMT.CST_DIM,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR_STG.T_TBL_PFS_MTH_BO_OUG,EDW_DMT.OU_DIM,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DMT.PFS_BOND_AR_DIM,EDW_SOR_STG.T_TBL_PFS_AC_BOND_AR_DIM,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DMT.CST_DIM,EDW_SOR_STG.T_DMT_CST_LMT,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DMT.CST_DIM,EDW_SOR_STG.T_DMT_CST_MKG_SEG,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DMT.CST_DIM,EDW_SOR.CTY,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DMT.CST_DIM,EDW_SOR_STG.T_DMT_CST_ANL,EDW_DMT.PFS_BOND_AR_FCT_MTLY
