src_tab,ID
GSM.CUSTOMER_CAMPAIGN,DWH_LOGICAL.GSM_CUSTOMER_CAMPAIGN_TSD
GSM.MEETINGRECORD,DWH_LOGICAL.GSM_MEETINGRECORD
EDW_SOR_STG.T_TBL_PFS_MTH_BO_PD,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR_STG.T_TBL_PFS_MTH_BO_CPVAR,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.IB_BOND_STATISTICS_TSD,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DMT.R_TBL_CU_0015_IB_CST_FOR_TCB,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.CUSTOMER_TSD,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.IB_BOND_STATISTICS,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.CURRENCY,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.CMS_DIC_COUNTRY,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.T_CUSTOMER_STATUS,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.CMS_DIC_RESPCODE,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.LD_TTNPP,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.I$_INDUSTRY,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.INDUSTRY_GSO_TCB,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.KDR_PORTFOLIOS,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.I$_LC_PRODUCT_TYPES_TCB,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.CMS_REFERENCEENTRY,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.KDR_DANGKY_CV_TYPE,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_SOR_STG.T_CMS_ACCOUNT,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.KDR_CHARTOFACCOUNT,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.ECM_LIST_ATM,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.T_RE_TXN_CODE,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH_STG.T_TRANSACTION_CODE,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.KDR_FOLDERS,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.CMS_REFERENCECRD_STAT,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.CMS_REFERENCECARDSIGN,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.KDR_FLOATINGRATES,EDW_DMT.PFS_BOND_AR_FCT_MTLY
EDW_DWH.CMS_CONTRACTSTATEREFERENCE,EDW_DMT.PFS_BOND_AR_FCT_MTLY
